key,Race,Date,distance_km,elevation_gain_m,key_race,finishers,winner_hours,top3_median_hours,km_effort,vertical_share,elite_equivalent_speed
266,FRAGRANT MOUNTAIN TRAIL RUNNING 2018 - 50 KM,1 December 2018,48.6,2810,266,484,5.52,5.543333333333333,76.7,0.3663624511082138,13.836440168370416
267,FRAGRANT MOUNTAIN TRAIL RUNNING 2018 - 21KM,1 December 2018,20.8,1540,267,860,2.337222222222222,2.5722222222222224,36.2,0.42541436464088395,14.073434125269978
268,SUDAMERICANO DE TRAIL Y MONTAÑA 2018 - SUDAMERICANO DE TRAIL 15K,1 December 2018,14.6,420,268,179,1.0186111111111111,1.0194444444444444,18.8,0.22340425531914893,18.44141689373297
269,DABIESHAN TIANXIA 100 CROSS-COUNTRY RACE 2018 - 100K,1 December 2018,107.5,4780,269,64,17.055833333333332,17.62638888888889,155.3,0.3077913715389568,8.810653218816483
270,DABIESHAN TIANXIA 100 CROSS-COUNTRY RACE 2018 - 50K,1 December 2018,52.9,2300,270,101,6.107777777777778,6.392777777777778,75.9,0.303030303030303,11.872773094638047
271,CLUJ ECOTRAIL ULTRAMARATHON 2018 - CLUJ ECOTRAIL HALFMARATHON,1 December 2018,26.9,810,271,102,2.0169444444444444,2.019722222222222,35.0,0.23142857142857143,17.32911566497043
272,CLUJ ECOTRAIL ULTRAMARATHON 2018,1 December 2018,47.9,1420,272,102,3.7191666666666667,3.7288888888888887,62.099999999999994,0.22866344605475042,16.653754469606675
273,LEŚNIK ZIMA 2018 - MARARATON LEŚNIK ZIMA,1 December 2018,45.5,3200,273,78,5.2625,5.323055555555555,77.5,0.4129032258064516,14.55930699786046
274,LEŚNIK ZIMA 2018 - PÓŁLEŚNIK ZIMA,1 December 2018,27.2,1910,274,209,2.8741666666666665,2.906388888888889,46.3,0.4125269978401728,15.93042148523368
275,WILD WOLF 100 SANMING TRAIL RACE 2018 - WILD WOLF 100 TRAIL RACE 100KN,1 December 2018,105.0,4730,275,76,12.830277777777777,13.366666666666667,152.3,0.3105712409717662,11.394014962593516
276,WILD WOLF 100 SANMING TRAIL RACE 2018 - WILD WOLF 100 TRAIL RACE 25KM,1 December 2018,26.3,1080,276,26,2.6891666666666665,2.9155555555555557,37.1,0.29110512129380056,12.72484756097561
277,WILD WOLF 100 SANMING TRAIL RACE 2018 - 50KM,1 December 2018,48.1,2400,277,45,5.423055555555556,6.649444444444445,72.1,0.332871012482663,10.843011112039434
278,HIVERNALE DES TEMPLIERS 2018 - ASTRAGALE TRAIL,2 December 2018,64.8,2080,278,598,5.99,6.103888888888889,85.6,0.2429906542056075,14.023846363884589
279,HIVERNALE DES TEMPLIERS 2018 - MARATHON DE L'ORCHIS,2 December 2018,35.2,1790,279,631,3.1269444444444443,3.133611111111111,53.1,0.33709981167608283,16.945306267174896
280,HIVERNALE DES TEMPLIERS 2018 - ADONIS TRAIL,2 December 2018,24.0,1170,280,667,1.9225,1.9602777777777778,35.7,0.32773109243697474,18.211704690378347
281,LANTAU 50 2018 - 50K,2 December 2018,55.4,3080,281,126,6.139722222222222,6.2188888888888885,86.2,0.35730858468677495,13.860996962658568
282,ULTRABERICUS WINTER 2018,2 December 2018,33.3,1420,282,585,2.593611111111111,2.6258333333333335,47.5,0.29894736842105263,18.089495398286257
283,HK168 2018 - 20KM,2 December 2018,19.6,1240,283,63,2.4683333333333333,2.7944444444444443,32.0,0.3875,11.451292246520875
284,ULTRA-TRAIL CAPE TOWN 2018 - 21KM,2 December 2018,20.5,1080,284,451,1.8080555555555555,2.0372222222222223,31.3,0.34504792332268375,15.364057812926097
285,9 LOONG LAKE TRAIL RACING 2018 - 30K,2 December 2018,31.2,2060,285,326,3.116388888888889,3.72,51.8,0.3976833976833977,13.924731182795698
286,9 LOONG LAKE TRAIL RACING 2018 - 50K,2 December 2018,52.0,3130,286,217,6.035277777777778,6.631944444444445,83.3,0.37575030012004806,12.560418848167538
287,MARATÓ PER MUNTANYA MARINA ALTA 2018 - MARATÓ MARINA ALTA,2 December 2018,42.0,2320,287,55,5.019166666666667,5.203055555555555,65.2,0.3558282208588957,12.53109817948855
288,MARATÓ PER MUNTANYA MARINA ALTA 2018 - TRES TOSSALS,2 December 2018,21.6,1150,288,234,1.9794444444444443,2.0283333333333333,33.1,0.3474320241691843,16.318816762530815
289,MERRELL DEL MAR A LA CIMA 2018 - 24K,2 December 2018,24.0,850,289,450,2.346111111111111,2.3491666666666666,32.5,0.26153846153846155,13.834693153600568
290,MERRELL DEL MAR A LA CIMA 2018 - 80K,2 December 2018,78.0,3870,290,91,10.647222222222222,10.755555555555556,116.7,0.33161953727506427,10.850206611570247
